ATP5J2-PTCD1	G3V325
NAPA	P54920
ADPRH	P54922
EIF5	P55010
PSMD4	P55036
DRG2	P55039
NR1H2	P55055
TMBIM6	P55061
VCP	P55072
MFAP1	P55081
MFAP3	P55082
MLLT10	P55197
BRPF1	P55201
CASP7	P55210
CASP9	P55211
ADK	P55263
SEC13	P55735
NHP2L1	P55769
GFER	P55789
HNRNPH2	P55795
SUMO3	P55854
EIF3B	P55884
ATP5J2	P56134
RRP1	P56182
MARS	P56192
MAZ	P56270
CMC4	P56277
C14orf2	P56378
EIF6	P56537
NDUFA6	P56556
TMEM50B	P56557
STX17	P56962
PIGP	P57054
C21orf59	P57076
SCAND1	P57086
TMEM33	P57088
SYNJ2BP	P57105
KLF3	P57682
NUP107	P57740
EEFSEC	P57772
FBXW4	P57775
ZNF121	P58317
SMIM11	P58511
AP3S2	P59780
ANAPC15	P60006
CD81	P60033
SEC61G	P60059
TPI1	P60174
EIF3E	P60228
SEC61B	P60468
PTEN	P60484
PPP4C	P60510
GABARAPL2	P60520
ROMO1	P60602
UBE2G2	P60604
EIF4A1	P60842
PRPS1	P60891
PSMA6	P60900
CDC42	P60953
SPCS3	P61009
SRP54	P61011
RAB2A	P61019
RAB5B	P61020
RAB10	P61026
UBE2D3	P61077
UBE2M	P61081
UBE2K	P61086
UBE2N	P61088
RAB14	P61106
ACTR1A	P61163
TMEM258	P61165
COPS2	P61201
POLR2F	P61218
ABCE1	P61221
MAX	P61244
PSME3	P61289
MAGOH	P61326
RPL27	P61353
ATP6V0D1	P61421
RHOA	P61586
NAA20	P61599
SEC61A1	P61619
VBP1	P61758
DAD1	P61803
NPC2	P61916
COPZ1	P61923
DCAF7	P61962
LMO4	P61968
NUTF2	P61970
HNRNPK	P61978
TIMM10	P62072
PPP1CA	P62136
PSMC5	P62195
UBE2H	P62256
YWHAE	P62258
RPS23	P62266
RPS13	P62277
SNRPG	P62308
LSM3	P62310
LSM6	P62312
SNRPD1	P62314
SNRPD2	P62316
SNRPD3	P62318
ARF6	P62330
PSMC6	P62333
SELT	P62341
POLR2G	P62487
RAB11A	P62491
ETF1	P62495
CNBP	P62633
PPP2CB	P62714
RHOB	P62745
RPS6	P62753
HIST1H2BC	P62807
RAB1A	P62820
RAN	P62826
RAP1A	P62834
UBE2D2	P62837
RPS24	P62847
GNB1	P62873
POLR2L	P62875
RBX1	P62877
GNB2	P62879
RPL30	P62888
RPL31	P62899
RPL10A	P62906
RPL32	P62910
RPL11	P62913
RPL8	P62917
UBA52	P62987
TRA2B	P62995
UBE2B	P63146
PPP2R2A	P63151
SUMO1	P63165
DYNLT1	P63172
SKP1	P63208
EIF5A	P63241
SUPT4H1	P63272
UBE2I	P63279
PPP2CA	P67775
SEC11A	P67812
CSNK2B	P67870
UBE2L3	P68036
TUBA1B	P68363
UBXN2A	P68543
NOP14	P78316
RNF4	P78317
RBM6	P78332
EIF4G2	P78344
RPP38	P78345
RPP30	P78346
GTF2I	P78347
SLC35A2	P78381
SLC35B1	P78383
GSTO1	P78417
BLOC1S1	P78537
IL13RA1	P78552
CRADD	P78560
TMF1	P82094
MRPS22	P82650
MRPS25	P82663
MRPS10	P82664
MRPS35	P82673
